0.844	1.992
0.957	1.56
0.468	1.752
0.642	1.8
0.726	2.28
0.299	1.776
0.862	0.936
0.589	0.936
0.101	0.552
0.771	1.08
0.898	1.104
0.58	0.96
0.292	2.112
0.256	1.128
0.819	2.088
0.196	2.136
0.249	1.944
0.137	1.944
0.21	1.896
0.107	0.72
0.471	1.416
0.953	2.352
0.792	1.608
0.54	1.368
0.766	1.128
0.338	1.584
0.422	1.968
0.745	2.064
0.653	0.504
0.98	2.352
0.813	0.648
0.586	1.152
0.922	1.824
0.569	2.088
0.117	1.632
0.602	2.376
0.427	1.608
0.326	0.744
0.984	0.864
0.46	0.6
0.871	0.84
0.53	0.696
0.821	1.296
0.937	0.816
0.342	2.088
0.307	0.624
0.448	2.184
0.991	0.84
0.16	1.536
0.395	1.968
0.679	0.916
0.475	2.141
0.833	2.108
0.503	2.059
0.354	0.865
0.142	0.514
0.874	1.853
0.311	2.22
0.792	2.166
0.981	1.354
0.738	1.966
0.574	0.665
0.334	1.41
0.221	1.874
0.457	0.833
0.62	1.31
0.299	1.597
0.798	1.207
0.628	1.725
0.433	1.101
0.259	1.497
0.189	1.377
0.362	2.256
0.266	0.566
0.234	1.21
0.579	0.938
0.411	1.584
0.781	0.963
0.72	1.981
0.655	1.164
0.349	0.75
0.34	0.609
0.541	0.723
0.321	0.807
0.538	1.125
0.589	2.327
0.774	1.399
0.855	2.373
0.557	2.046
0.766	1.957
0.385	1.735
0.634	2.178
0.481	1.072
0.179	1.278
0.166	0.629
0.648	1.84
0.807	1.084
0.294	0.536
0.897	2.388
0.707	2.301
0.198	1.915
0.207	2.32
0.886	1.555
0.843	0.672
0.274	1.507
0.82	1.658
0.424	1.632
0.926	1.432
0.133	1.705
0.946	0.785
0.933	0.884
0.986	1.758
0.902	0.793
0.751	1.686
0.111	1.442
0.127	0.989
0.662	1.136
0.605	1.188
0.689	2.228
0.102	0.493
0.251	1.779
0.212	1.637
0.596	1.266
0.821	1.884
0.913	2.085
0.879	0.549
0.996	1.477
0.528	2.121
0.153	1.571
0.446	1.822
0.286	0.849
0.674	1.939
0.74	2.19
0.962	1.035
0.863	1.343
0.511	2.344
0.416	0.748
0.561	1.801
0.393	0.587
0.521	1.535
0.467	0.644
0.16	2.004
0.236	1.229
0.951	1.305
0.727	2.281
0.697	0.955
0.487	1.048
0.371	0.697
0.402	2.021
0.971	1.008
